first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
;lgeeteit;Chaim  50.Todestag  (R.Weltsoh  in  J.R.33  Nachruf)  10,6,83;-;-;-;-;-;MBNR.11.PER.0
;Ben-Chorin;5:  Deutschsprachige  Dichter  in  Iarael  7.  9.83;-;-;-;-;-;MBNR.11.PER.1
;Ben-Haim;Peul(Komponist)  20.1,84;-;Nachruf;-;-;-;MBNR.11.PER.2
;Benjamin;W./Scholem,G.1Briefwechsel  Rez,.R.Jütte;-;-;-;10.10.84;-;MBNR.11.PER.3
;Bentwich;Frof  ‚Norman  loo.Geburtstag  (Lowenthal);-;-;-;22.4.83;-;MBNR.11.PER.4
;Berendsohn;Trofl,  Walter;-;Nachruf;-;17.2.84;-;MBNR.11.PER.5
;Bergman;Frof.Higo  S.  1loo.Geburtstag  (gt.;-;-;-;48.6.4979);-;MBNR.11.PER.6
Cora;Berliner;(in  LBI-Bulletin  67  (Lowenthal)  31.8,84;-;-;-;-;-;MBNR.11.PER.7
Ch.N.;Bialik;50.Todestag  (Toblas)  20,7.84;-;-;-;-;-;MBNR.11.PER.8
Kurt;Blumenfeld;100.Geburtstag  25,5.84;-;-;-;-;-;MBNR.11.PER.9
Max;Brod;(Dissertation  über  B.Rez.Ben-Chorin);-;-;-;14.1.83;-;MBNR.11.PER.10
;Buber;Frof.  Martin  (Bücher  ber  B.Rer.Ben-Chorin)  25,2,83;-;-;-;-;-;MBNR.11.PER.11
;Burg;Dr  ;Dr.;-;-;-;-;MBNR.11.PER.12
V-Zentrale;C;Berlin  Ueberfall  der  SA  vor  50  Jahren(Lowenthal)  25,2,83;-;-;-;-;-;MBNR.11.PER.13
Hans;Capell;75  (W.Gross)  z;-;-;-;28.3.83;-;MBNR.11.PER.14
Josef;Cohn;80  (E.Rothschild);Dr.;-;-;14.12.84;-;MBNR.11.PER.15
;Cohn;Willy  Juienstaat  bei  Schiller(J,R.1934);-;-;-;2.11.84;-;MBNR.11.PER.16
Frof.Gordon;Cralg;Frof  Gordon;-;-;-;-;-;MBNR.11.PER.17
Malll;Danziger;95  (E.Rothschild);-;-;-;29.6.84;-;MBNR.11.PER.18
;Eban;"Abba  ""lleritage""-Film  Rez.";-;-;-;28.12.84;-;MBNR.11.PER.19
Nax;Bik;j;Dr.;Nachruf;-;25.5.84;-;MBNR.11.PER.20
D#.Arthur;Bloesser;D#  Arthur;-;-;-;-;-;MBNR.11.PER.21
;Esthelbaohbr;Dr.  Oskar  Nachruf(Capell);-;-;-;13.7.84;-;MBNR.11.PER.22
Abr.;Even-Schoschan(Rosenstein);Nachruf(Toblas);-;-;-;17.8.84;-;MBNR.11.PER.23
leir;Faörber;75  (Ben-Chorin)  294.83;-;-;-;-;-;MBNR.11.PER.24
Lion;Feuchtwanger;100,  Geburtstag(Ben-Chorin);-;-;-;6.7.84;-;MBNR.11.PER.25
Drullerbert;Fresdbn;75  (E.Rothschi1d);-;-;-;20.1.84;-;MBNR.11.PER.26
;Freier;Recha  (Michaelis);-;Nachruf;-;4.5.84;-;MBNR.11.PER.27
David;Friedl#nder;(Iudw,  Feuchtwanger  in  J.R,  1934);-;-;-;8.3.85;-;MBNR.11.PER.28
FProf.Nachum;Glatzer;80  (N,Gruenewald);-;-;-;28.3.83;-;MBNR.11.PER.29
;Goitein;Prof.S.D.  (Fritz)  Nachruf(E.Rothschild)  15.2,85;-;-;-;-;-;MBNR.11.PER.30
Reuven;Golan;(Ca  pell)  -  Gedenkstunde;-;Nachruf;-;17.6.83;-;MBNR.11.PER.31
;Gradenwitz;Peter  Dt,.Alijah  in  d.Musik;Prof.;-;-;7.9.83;-;MBNR.11.PER.32
Frof.Hergann;Greive;A,Bein;-;Nachruf;-;2.3.84;-;MBNR.11.PER.33
Nax;Gruenewald;85  (Lowenthal);Dr.;-;-;23.11.84;-;MBNR.11.PER.34
F.V.:Propheten.die;Grunfeld;F  V.:Propheten  die;-;-;-;-;-;MBNR.11.PER.35
;Haestrup;Fassage  to  Falestine  Rez,Michaelis;-;-;-;23.11.84;-;MBNR.11.PER.36
;Hamburger;Ernst  E.Rothschild;-;Nachruf;-;9.11.84;-;MBNR.11.PER.37
Joh.Feter;llebel;"""Kannitverstan""";-;-;-;23.11.84;-;MBNR.11.PER.38
;Hecht;Dr,Reuben(Hnifa)  75  10,8.84;-;-;-;-;-;MBNR.11.PER.39
Theodor;Herzl;(Neuausgabe  Rez,);-;-;-;20.7.84;-;MBNR.11.PER.40
Chaim;Herzog(Fräsident);"""Fhilister  Über  Dir-Simson(Rothschild)";-;-;-;16.11.84;-;MBNR.11.PER.41
Stefan;Heym;"""Ahasver""  Rez,Tobias  9,3.84";-;-;-;-;-;MBNR.11.PER.42
Otto;Hirsch;Dr  Otto;Dr.;-;-;-;-;MBNR.11.PER.43
;Hirschmann;Fritz  S,(Haifa)  in  memorian  gs;-;-;-;21.71.84;-;MBNR.11.PER.44
Wilfrid;Israel;40,Todestag  (Lowenthal);-;-;-;3.6.83;-;MBNR.11.PER.45
Frof.Jigal;Jadin;Frof  Jigal;-;-;-;-;-;MBNR.11.PER.46
E.J.;Jarus(Jaroslawski);;Dr.;Nachruf;-;8.6.84;-;MBNR.11.PER.47
A.B.;Jehoshua;Plädoyer  f.d.Normale  Rez.Toblas;-;-;-;21.12.84;-;MBNR.11.PER.48
;Kafka;Franz  10o,Geburtstag  (Hilde  Spiel)  27,5.83;-;-;-;-;-;MBNR.11.PER.49
Hascha;Kaleko;10.Todestag(Nichaelis);-;-;-;28.12.84;-;MBNR.11.PER.50
Kurt;Kanowitz;Dt.Zionisten  in  Landespolitik;-;-;-;7.9.83;-;MBNR.11.PER.51
;Karin-Karger;Mendel  24,8,.84;-;Todesanzeige;-;-;-;MBNR.11.PER.52
;Katz;Frof.Jacob  Dt.Juden  (e.Vortrag)  26.9,84  +;-;-;-;10.10.84;-;MBNR.11.PER.53
örnst;Katzenstein;85  (S.Kagan)  18,2.83;Dr.;-;-;-;-;MBNR.11.PER.54
;Kauffmann;Richard  (Architekt)  (G.Kaminka);-;-;-;29.3.85;-;MBNR.11.PER.55
Epıraim;Kishon;60;-;-;-;7.9.84;-;MBNR.11.PER.56
;Klarsfeld;Beate  :  Französ,  Ehrung  (D.Strothmann)  26.10,84;-;-;-;-;-;MBNR.11.PER.57
Frof.;Kleeberg;Frof  ;-;-;-;-;-;MBNR.11.PER.58
Arthur;Koestler;;-;-;-;-;-;MBNR.11.PER.59
llelmut;Kohl;(Bundeskanzler)  Besuch  in  Israel(Lilienfeld  )20.1.84;-;-;-;-;-;MBNR.11.PER.60
;Kohn;Rulolf  90;-;-;-;-;-;MBNR.11.PER.61
Fritz;Kost;E.  80  (Capell);-;-;-;15.6.84;-;MBNR.11.PER.62
;Kroener;,Ruiyard;-;-;-;-;-;MBNR.11.PER.63
