first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
dazu;siehtigrte;erst  in  letzten  Jahren  überging.öo  gibt  es  leider;-;-;-;-;-;MBNR.12.PER.0
auf;lleftseite;der  die  kintragungen  zu  finden  sind.  IV,87,5.3;-;-;-;-;-;MBNR.12.PER.1
wenn;schon;auch  ungenügen#  Mit  Fortsezung  dieses  Kegisters  durch;-;-;-;-;-;MBNR.12.PER.2
llans;Adler;Günther  Todesnotiz  xX/88,8.9;-;-;-;-;-;MBNR.12.PER.3
Abr.P.;Alesberg;70  (E.Rothschild)  11/83,8,3;Prof.;-;-;-;-;MBNR.12.PER.4
S.;Agnon;100.Geburtsitag  (A.Toblas)  VIII/88,8.5;-;-;-;-;-;MBNR.12.PER.5
Benjamin;Akzin;Memoiren  Rez.Alsberg)  IIL/90,8-12  Fr;Prof.;-;-;-;-;MBNR.12.PER.6
;Altmann;Alexander  (Lowenthal)  1X/87,5.13;Prof.;Nachruf;-;-;-;MBNR.12.PER.7
Abba;Arnon;$.  (KJV)  95  (Kurt  Kanowitz)  V/90  5.8;Dr.;-;-;-;-;MBNR.12.PER.8
Robert;Atlasz;90  X1/88,8.7;Dr.;-;-;-;-;MBNR.12.PER.9
Zwi;Awni;60  V1/88  8,5;-;-;-;-;-;MBNR.12.PER.10
;Bach;Victor  III/87  3.2.;-;Todesanzeige;-;-;-;MBNR.12.PER.11
Leo;Baeck;Gedenkrede  auf  Fr.Rosenzweig  XII/86,8.3;Dr.;-;-;-;-;MBNR.12.PER.12
Alexander;Bein;Israel-Preis  III/87  8.8;Dr.;-;-;-;-;MBNR.12.PER.13
Schalom;Ben-Chorin;75  X1/88,3.7;-;-;-;-;-;MBNR.12.PER.14
Fritz;Berger;Nachruf(A.Tohias)  111/88  5,11;Dr.;-;-;-;-;MBNR.12.PER.15
;Bergmann;Prof.Hugo  8.  Rez.Erinnerungen  (Ben-Chorin)  IV/87,8.7;-;-;-;-;-;MBNR.12.PER.16
ilisabeth;Bergner;in  Israel  VI/86  8.5.;-;-;-;-;-;MBNR.12.PER.17
Cora;Berliner;An  ihrem  loo.Geburtstag  erinnert(Lowenthal)I11/90,3.4;-;-;-;-;-;MBNR.12.PER.18
Solomon;Birnbaum;(Lowenthal)  11/90  8,7;Dr.;Nachruf;-;-;-;MBNR.12.PER.19
Gabriela;Blum;"wird  Redakteurin  des  ""NP""  v/90,5.4";-;-;-;-;-;MBNR.12.PER.20
Kurt;Blumenfeld;Aus  briefen  v.Prof.Yedor  Schneider  VIII/88,S.;-;-;-;-;-;MBNR.12.PER.21
lienriette;Bodenheimer;Hannah  90  (Assor)  vIl/88  8,3;-;-;-;-;-;MBNR.12.PER.22
Bernhard;Brilling;(KJV)  (Lowenthal)X1/87,8.7;Prof.;Nachruf;-;-;-;MBNR.12.PER.23
Henryk;Broder;"""Der  ewige  Antisemit""  Rez.  (Lilienfelda)IVv/87,8.15  £.";-;-;-;-;-;MBNR.12.PER.24
Friedrich;Brodnitz;90  (Lowenthal)XI1/89,3.4.;Dr.;-;-;-;-;MBNR.12.PER.25
