first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
;Geburtstage;Jubiläen,  Biographien,  Nachrufe  (ohne  Autoren-Register!);-;-;-;-;-;MBNR.1.PER.0
;Aaronsohn;Ahron  siehe:  Aronsohn,  As;-;-;-;-;-;MBNR.1.PER.1
Sarah(Sichron;Aaronsohn;Jakow)  biogr.Notiz;-;-;-;18.1.57;-;MBNR.1.PER.2
Paul;Abrahan;;-;Nachruf;-;20.5.60;-;MBNR.1.PER.3
br.Konrad;Adenauer;"(""Observer"")";-;-;-;2.9.49;-;MBNR.1.PER.4
Alexander;Adler;(Misrachi)  70(KalmusiXX;-;-;-;21.5.54;-;MBNR.1.PER.5
Cyrus;Adler;;Dr.;Nachruf;-;12.4.40;-;MBNR.1.PER.6
Friedrich;Adler;Dr  Friedrich;Dr.;-;-;-;-;MBNR.1.PER.7
Jacob;Adler;Wov.36;Dr.;Nachruf;-;-;-;MBNR.1.PER.8
S.J.;Agmon;Sept.38:50  (Bergman,Krojanker);-;-;-;-;-;MBNR.1.PER.9
;Alain(=Chartier);31/1951;Prof.;-;-;-;-;MBNR.1.PER.10
lartin;Alterthum;KA  60;-;-;-;29.8.47;-;MBNR.1.PER.11
Paul;Altmann;(H.T.);-;Nachruf;-;31.12.54;-;MBNR.1.PER.12
Emil;Altschüler;(Frankfurt-Haifa)  üachruf;Dr.;-;-;25.9.42;-;MBNR.1.PER.13
Hax;Anhauch;von;-;Nachruf;-;25.1.46;-;MBNR.1.PER.14
Alfred;Antal;Nachruf(J.Löwy);Dr.;-;-;25.7.47;-;MBNR.1.PER.15
Alfred;Apfel;Todesnachricht;Dr.;-;-;25.4.41;-;MBNR.1.PER.16
Chaim;Arlosoroff;Juli  38  5.Todestag(Shm.Lewin  hebr);-;-;-;-;-;MBNR.1.PER.17
laska;Arlosoroff;wachruf  (Landauer);-;-;-;9.5.47;-;MBNR.1.PER.18
kax;Arnold;(Wien)  Todesnachricht;-;-;-;8.1.43;-;MBNR.1.PER.19
Paula;Arnold;70  (H.HMosbacher);-;-;-;18.2.55;-;MBNR.1.PER.20
Ahron;Aronsohn;(41919)  25.Todestag(I.Reichert);-;-;-;19.5.44;-;MBNR.1.PER.21
Dr.Philipp;Aronstein;;Prof.;Todesanzeige;-;20.10.45;-;MBNR.1.PER.22
Schalom;Asch;19.7,57  Wachruf(M.Mayer);-;-;-;-;-;MBNR.1.PER.23
Albert;Aschner;Todesnachricht;-;-;-;11.7.41;-;MBNR.1.PER.24
Grete;Ascher;;-;-;-;-;-;MBNR.1.PER.25
;Ascher;Dr.Martin  (KJV)  Nachruf(Herlitz);-;-;-;6.3.59;-;MBNR.1.PER.26
;Ascher;Dr,Siegfried  26,.6.47  To;-;-;-;-;-;MBNR.1.PER.27
Eduard;Aschermann;70;-;-;-;10.12.54;-;MBNR.1.PER.28
Elias;Auerbach;60(H.Loewe,Tiefenthal);Dr.;-;-;24.7.42;-;MBNR.1.PER.29
Hilde;Auerbach;(Sarid);-;Nachruf;-;30.1.42;-;MBNR.1.PER.30
