first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
Haam;Achad;Nachlassprozess  13.lo<,43(M.Smoira);-;-;-;-;-;MBNR.2.PER.0
Joseph;Achron;lo.Todestag  stutschewsky);-;-;-;24.4.53;-;MBNR.2.PER.1
S.;Adler-Rudel;60  EMichaelis);-;-;-;23.7.54;-;MBNR.2.PER.2
Chaim;Arlosoroff;Jüd.Rundschau  A.üb.dt.Juden  in  Palästina!;-;-;-;23.5.33;-;MBNR.2.PER.3
Otto;Ascher;(Wolfheim);-;Nachruf;-;19.1.45;-;MBNR.2.PER.4
Karl;Barth;E.schweizer  Stimme  Jonas);Prof.;-;-;20.9.46;-;MBNR.2.PER.5
Juda;Bavly-Bromberg;(j.Berger);-;Nachruf;-;16.7.43;-;MBNR.2.PER.6
E1isabeth;Beerbohm-Jungmann;xlachruf  HT);-;-;-;13.2.59;-;MBNR.2.PER.7
Alex;Bein;Rezens.HerzlBiogr.l9.7.57(Arnold);-;-;-;-;-;MBNR.2.PER.8
Rabbi;Benjamin;simon);-;-;-;27.12.57;-;MBNR.2.PER.9
Elieser;Ben-Jehuda;;-;-;-;22.1.60;-;MBNR.2.PER.10
Hugo;Bergman;70  (RW,Buber);-;-;-;4.12.53;-;MBNR.2.PER.11
Elisabeth;Bergner;;-;-;-;16.12.49;-;MBNR.2.PER.12
Gottfr.;Bermann-Fischer;in  Israel;-;-;-;25.9.59;-;MBNR.2.PER.13
Simon;Bernfeld;Jiid.Rundschau  75;-;-;-;4.1.35;-;MBNR.2.PER.14
Ch.N.;Bialik;"J;;d.Rundschau  Nachrufe";-;-;-;6.7.34;-;MBNR.2.PER.15
Moritz;Bileski;Jüd.Rundschau;-;-;-;9.2.34;-;MBNR.2.PER.16
Nathan;Birnbaum;Jüd.Rundscliau  70;-;-;-;24.4.34;-;MBNR.2.PER.17
Ernst;Bloch;;Prof.;-;-;22.1.60;-;MBNR.2.PER.18
Leon;Blum;Lit.Werk;-;-;-;28.10.55;-;MBNR.2.PER.19
Kurt;Blumenfeld;zum  Gruss;-;-;-;8.6.45;-;MBNR.2.PER.20
Rudolf(Vater;Blumenfeld;von  Kurt  B.)25.Todestag  Neufeld);-;-;-;28.12.45;-;MBNR.2.PER.21
llax;Bodenheimer;J.  Biogr.;-;-;-;23.5.47;-;MBNR.2.PER.22
Hermann;Broch;iIT);-;-;-;27.7.51;-;MBNR.2.PER.23
Max;Brod;Geis);-;-;-;23.6.44;-;MBNR.2.PER.24
Martin;Buber;Bergman);-;-;-;7.8.42;-;MBNR.2.PER.25
'//alter;Cale;J  üd,  Rund  sc  hau;-;-;-;2.11.34;-;MBNR.2.PER.26
Hoses;Calvary;MMayer);-;-;-;2.1.48;-;MBNR.2.PER.27
Marc;Chagall;;-;-;-;29.4.48;-;MBNR.2.PER.28
Joshua;Chankin;H.Thon);-;-;-;23.11.45;-;MBNR.2.PER.29
Remiann(Pasternak;Cohen;;Prof.;-;-;20.3.59;-;MBNR.2.PER.30
Benedetto;Croce;Besuch  bei  C.;-;-;-;8.7.49;-;MBNR.2.PER.31
Oskar;Donath;Thieberger);-;Nachruf;-;20.4.45;-;MBNR.2.PER.32
Mayer;Ebner;;-;-;-;7.11.52;-;MBNR.2.PER.33
Albert;Einstein;75;-;-;-;26.3.54;-;MBNR.2.PER.34
Alfred;Einstein;Rez.Essays;-;-;-;8.3.57;-;MBNR.2.PER.35
Ismar;Elbogen;;-;-;-;1.9.44;-;MBNR.2.PER.36
Val;Eiden;ter  lo.lo.47;-;Nachruf;-;-;-;MBNR.2.PER.37
Max;Elk;50;-;-;-;5.3.48;-;MBNR.2.PER.38
