first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
Ellsabeth;Abegg;85  3.3467;-;-;-;-;-;MBNR.4.PER.0
Konrad;Adenauer;lib.Israel;-;-;-;15.4.66;-;MBNR.4.PER.1
Joel;Adiv(Freundlich);;-;Nachruf;-;16.2.68;-;MBNR.4.PER.2
S.J.;Agnon;Nobelpreis  Bergman,Cottgetreu);-;-;-;28.10.66;-;MBNR.4.PER.3
in;A;Deutschland  24,2.67(Scholem);-;-;-;-;-;MBNR.4.PER.4
Vermlis;A.u;31,3,67;-;-;-;-;-;MBNR.4.PER.5
u.Jerusalen;A;4,10,67(Gotteetreu);-;-;-;-;-;MBNR.4.PER.6
Max;Alsberg;Biogr.28,1.66;-;-;-;-;-;MBNR.4.PER.7
Hans;Alterthum;70  16.2,68;-;-;-;-;-;MBNR.4.PER.8
Martin;Alterthm;80  25,8.67(HT,Tuchler);-;-;-;-;-;MBNR.4.PER.9
Jean;Andry;Jiid.Intelekketuelle  im  KZ  24,4,67;-;-;-;-;-;MBNR.4.PER.10
Raymsnd;Aron;Ub,Juden;-;-;-;21.65.68;-;MBNR.4.PER.11
Lise;Ascher;24,6.66;-;Nachruf;-;-;-;MBNR.4.PER.12
;Aschheim;Isidor  31,5.68;-;Nachruf;-;-;-;MBNR.4.PER.13
M.A.;Asturias;M.A  ;-;-;-;-;-;MBNR.4.PER.14
Elias;Auerbach;85  28,7.67(HT);-;-;-;-;-;MBNR.4.PER.15
Mosche;Auerbach;85  15,4.66;-;-;-;-;-;MBNR.4.PER.16
Siegfr.M.;Auerbach;Siegfr  M.;-;-;-;-;-;MBNR.4.PER.17
Rose;Ausländer;Drostepreis;-;-;-;2.6.67;-;MBNR.4.PER.18
2vi;Arneri;23,6.67;-;Nachruf;-;-;-;MBNR.4.PER.19
Leo;Baeck;Fernsehen  Brenen  25,3,66;-;-;-;-;-;MBNR.4.PER.20
Lord;Balfour;J.  50  Jahre  B-Deklaration;-;-;-;17.4.6568;-;MBNR.4.PER.21
Kurt;Dall-Kaduri;75  28,1.66;-;-;-;-;-;MBNR.4.PER.22
Albert;Baer;80;-;-;-;5.4.68;-;MBNR.4.PER.23
Helene;Parth;75  (E.Simon);-;-;-;17.65.66;-;MBNR.4.PER.24
Jomtow;Bato;L,  80;-;-;-;11.2.66;-;MBNR.4.PER.25
Richard;Beer-Hofmann;loo.Geburtstag  (Kraft);-;-;-;26.38.66;-;MBNR.4.PER.26
Alex;Bein;65  19,.1.68  (Herlitz);-;-;-;-;-;MBNR.4.PER.27
Alfred;Beit;9,9.66(Aronsfeld);-;-;-;-;-;MBNR.4.PER.28
Paul;Ben-iaim;70;-;-;-;14.7.67;-;MBNR.4.PER.29
Walter;Yenjamin;Briefe  ifr);-;-;-;14.7.67;-;MBNR.4.PER.30
Normen;Bentwich;85  RW,Adler-R.);-;-;-;1.3.68;-;MBNR.4.PER.31
Bernd;Bergel;24,3,67;-;Nachruf;-;-;-;MBNR.4.PER.32
Ccilly;Berkowitz-Hermam;70  19.5,.67;-;-;-;-;-;MBNR.4.PER.33
lHians;Bethe;A,  Nobelpreis  1.127,67;-;-;-;-;-;MBNR.4.PER.34
Hans;Beyth;20.Todestag;-;-;-;21.12.67;-;MBNR.4.PER.35
Moritz;Bileski;in  memoriam  RW);-;-;-;11.2.66;-;MBNR.4.PER.36
Arthur;Biran;23,6.67(Auerbach);-;Nachruf;-;-;-;MBNR.4.PER.37
Frof.Ernst;Bloch;Frof  Ernst;-;-;-;-;-;MBNR.4.PER.38
lelene;Bloch;10o,Geburtstag;-;-;-;3.11.67;-;MBNR.4.PER.39
Konrad;Bloch;23.966;Prof.;-;-;-;-;MBNR.4.PER.40
Rurt;Blumenfeld;5.Todestag  Moses,HT,Baeck);-;-;-;17.5.68;-;MBNR.4.PER.41
Ernst;Blumenthal;70  Kraft);-;-;-;3.6.66;-;MBNR.4.PER.42
Adolf;Böhn;"""Falästina""zZeitschrift";-;-;-;14.6.68;-;MBNR.4.PER.43
Julie;Braun-Vogelstein;Autobiogr.30.12.66(Freuss);-;-;-;-;-;MBNR.4.PER.44
;Progmann;Liebsth  13.566;-;Nachruf;-;-;-;MBNR.4.PER.45
;Brentano;Franz  (Bergman);-;-;-;4.8.67;-;MBNR.4.PER.46
;;Gedichte;-;-;-;18.8.67;-;MBNR.4.PER.47
;Brüickheimer;"Simon  ""Lassikill""";-;-;-;25.12.66;-;MBNR.4.PER.48
Arthur;Briinn;10.Todestag;-;-;-;14.1.66;-;MBNR.4.PER.49
Martin;Buber;8.  1E,S1mon;-;-;-;11.35.66;-;MBNR.4.PER.50
Geburtstag);Errtefa(90;Bergman)  Briefe;-;-;-;9.2.68;-;MBNR.4.PER.51
Rudolf;Callmann;75  EGL);-;-;-;4.10.67;-;MBNR.4.PER.52
Ellas;Canetti;Wiener  Preis;-;-;-;14.10.66;-;MBNR.4.PER.53
Fablo;Casals;%;-;-;-;6.1.67;-;MBNR.4.PER.54
;Caspari;Joachim  Pinner)  .;-;Nachruf;-;27.1.67;-;MBNR.4.PER.55
Paul;Celan;».e.Gedicht  Kraft?)  «  nal;-;-;-;7.7.67;-;MBNR.4.PER.56
Rosalle;Chladek;;-;-;-;1.7.66;-;MBNR.4.PER.57
Towa;Chofschi;;-;Nachruf;-;21.6.68;-;MBNR.4.PER.58
Sir;Cohen;Rob.Waley  :  Biogr.;-;-;-;24.3.67;-;MBNR.4.PER.59
Helene;Cohn;Nechruf  29,4,66;-;-;-;-;-;MBNR.4.PER.60
;Cohn;Lotte  Frinnerungen;-;-;-;7.1.66/14.1,66/21.1.66/28.1.66/4.2.66/11.2.66;-;MBNR.4.PER.61
;Cohn;Norman  Buch  Üb.Antisemitismis;-;-;-;12.4.68;-;MBNR.4.PER.62
Charlotte;Corinth-Berend;Todesnachricht;-;-;-;27.1.67;-;MBNR.4.PER.63
Walter;Danziger;;-;Nachruf;-;14.10.66;-;MBNR.4.PER.64
Ernst;Davidsohn;;-;Todesanzeige;-;17.5.68;-;MBNR.4.PER.65
Gerhard;Debus;"""Schalom  Israel""";-;-;-;26.5.67;-;MBNR.4.PER.66
Thomas;Dehler;Nachruf’;-;-;-;4.8.67;-;MBNR.4.PER.67
;Deutscher;Isaae  Todesnachricht;-;-;-;8.9.67;-;MBNR.4.PER.68
Paul;Diamant;schloschim  Klausner);-;-;-;10.5.66;-;MBNR.4.PER.69
lfarlene;Dietrich;4,3.66(Geis);-;-;-;-;-;MBNR.4.PER.70
Grote;Dressler;Gedenkwald;-;-;-;26.1.68;-;MBNR.4.PER.71
ludwig;Dressler;28,7.67;-;Nachruf;-;-;-;MBNR.4.PER.72
Nosa;Dukas;Perman);-;Nachruf;-;27.1.67;-;MBNR.4.PER.73
fiayer;Fbner;10.rodestag  mies  !5eb  [6  len)  8;-;-;-;7.1.66;-;MBNR.4.PER.74
;Ehrenburg;Ilja  Nachmf  15.9,67  —;-;-;-;-;-;MBNR.4.PER.75
Albert;Ehrenstein;;-;-;-;30.12.66;-;MBNR.4.PER.76
Ismar;Elbogen;Neuausgaben  Hr);-;-;-;1.9.67;-;MBNR.4.PER.77
Bessi;Ellern;24,4,67;-;Todesanzeige;-;-;-;MBNR.4.PER.78
Carl;Ellern;15,7,66;-;Nachruf;-;-;-;MBNR.4.PER.79
Selma;Emrich;Todesangeige  30,.12,66;-;-;-;-;-;MBNR.4.PER.80
Kithe;Ephrain-Narkus;1,9,67;-;-;-;-;-;MBNR.4.PER.81
ludwig;Erhard;in  Israel;-;-;-;27.10.67;-;MBNR.4.PER.82
Fritz;Erler;3,3,67(HT);-;Nachruf;-;-;-;MBNR.4.PER.83
;Eschenburg;Theodor  in  Israel  17.11,67;-;-;-;-;-;MBNR.4.PER.84
Shaul;Esh;12,4,68(Simon);-;Nachruf;-;-;-;MBNR.4.PER.85
Karl;Bttlinger;3,10,66(P.Rosen);-;Nachruf;-;-;-;MBNR.4.PER.86
Schlomo;Ettlinger;15,4,66;-;Nachruf;-;-;-;MBNR.4.PER.87
Sigbert;Feuchtwanger;10.Todentag  15,4,66(HT);-;-;-;-;-;MBNR.4.PER.88
Ludwie;Ficker;v,  14.4,.67;-;Nachruf;-;-;-;MBNR.4.PER.89
Samel;Fischer;2,2,68;-;-;-;-;-;MBNR.4.PER.90
Friedr.Wilh.;Förster;Friedr.Wilh  ;-;-;-;-;-;MBNR.4.PER.91
Anna;Frank;Gedenkplastik  29.4,66;-;-;-;-;-;MBNR.4.PER.92
Mosche;Frank;Henachen  Nachruf‘  22,7,66;-;-;-;-;-;MBNR.4.PER.93
Abrahan;Fraenkel;Haleri  Autoblogr,.2€  1.68;-;-;-;-;-;MBNR.4.PER.94
Noomt;Fränkel;"""Saul  u.Johanna  III""";-;-;-;3.6.67;-;MBNR.4.PER.95
Recha;Freier;Testimonium;-;-;-;19.3.68;-;MBNR.4.PER.96
Sigmund;Freud;a.d,Btihne  25,3,66;-;-;-;-;-;MBNR.4.PER.97
Wilson;ib;;-;-;-;7.6.68;-;MBNR.4.PER.98
;Freudenthal;Jacob  Erinmerting  18,8,67;-;-;-;-;-;MBNR.4.PER.99
Peter;Fround;Cottgetreu);-;-;-;7.1.66;-;MBNR.4.PER.100
;Freund;Julius;-;-;-;13.10.67;-;MBNR.4.PER.101
Erich;Freyer;80  5,8,66;-;-;-;-;-;MBNR.4.PER.102
Max;Friedländer;J,  Erinnerungen;-;-;-;4.8.67;-;MBNR.4.PER.103
Max;Frisch;"""Rlografie""  16,2,68";-;-;-;-;-;MBNR.4.PER.104
Varlan;Fry;Gottgetreu);-;Nachruf;-;16.2.68;-;MBNR.4.PER.105
Richard;Fuchs;80;-;-;-;17.6.66;-;MBNR.4.PER.106
J.W.;Fullbright;J.W  ;-;-;-;-;-;MBNR.4.PER.107
Sdur;Gans;rd,  1,.4,66(HT);-;-;-;-;-;MBNR.4.PER.108
