first name;last name;other;title;nachruf/tode;jub;issue_date;Geburt/Tod;ID
5.;Adler-äudel;;-;-;-;-;-;MBNR.8.PER.0
S.J.;Amon;"kez  „""me'azni  el  azmi""(Tobias)";-;-;-;5.11.76;-;MBNR.8.PER.1
.liachlass-Erzählen.;hez;M  12.9477;-;-;-;-;-;MBNR.8.PER.2
!rof.Jochanan;Aharoni;(u.  rankfurt  a/d.  (2.65)  20.2,.76;-;-;-;-;-;MBNR.8.PER.3
or.sartin;Alterthum;üachruf(E.R.)  123.76;-;-;-;-;-;MBNR.8.PER.4
Kabb.Leo;Ansbacher;Kabb  Leo;-;-;-;-;-;MBNR.8.PER.5
liannah;Arendt;kachruf  12,12.75;-;-;-;-;-;MBNR.8.PER.6
;Aron;liaymond  Todesnachricht  2,5,75;-;-;-;-;-;MBNR.8.PER.7
ür..uoses;Ausrbach;ür  .uoses;-;-;-;-;-;MBNR.8.PER.8
Jeschaja;Aviad(Wolfsberg);0.  20,  lodestag;-;-;-;12.8.77;-;MBNR.8.PER.9
Shlono;Avineri;Prof  Shlono;Prof.;-;-;-;-;MBNR.8.PER.10
ina;Bachauer;Toiesnachricht  3,.0,76;-;-;-;-;-;MBNR.8.PER.11
Leo;Baeck;200,Todestag(HT);-;-;-;5.11.76;-;MBNR.8.PER.12
;Baerwald;Alexander(architekt)  l0o00.Geburtstag(L.C.)  13.5,77;-;-;-;-;-;MBNR.8.PER.13
;Ball-iaduri;Dr  ;Dr.;-;-;-;-;MBNR.8.PER.14
ür.sartin;Bandmann;75  (HT);-;-;-;26.3.75;-;MBNR.8.PER.15
;Bargebuhr;Frof.  Frederick  B.  kez.ibnGabirol(BenChorin);-;-;-;20.5.77;-;MBNR.8.PER.16
Rudolf;Barschai;in  Israel  25,2,77;-;-;-;-;-;MBNR.8.PER.17
uax;Baumann;(Dramatiker)  20.6,75;-;-;-;-;-;MBNR.8.PER.18
Jurek;Becker;"Kez.""Boxer""(&4)";-;-;-;21.10.77;-;MBNR.8.PER.19
;Behr;";erner  ii.  (Council  0f  JfG)  verling  3,29,.76";-;Nachruf;-;-;-;MBNR.8.PER.20
;Bellow;"Saul  kez.""Ilumboldt""";-;-;-;10.10.75;-;MBNR.8.PER.21
Abdallah;Bendak;;-;-;-;14.2.75;-;MBNR.8.PER.22
;Ben-Haim;Paul  (Komponist)  80  (Gradenwitz);-;-;-;1.7.77;-;MBNR.8.PER.23
br.0tto;Bental;80  (it);-;-;-;4.2.77;-;MBNR.8.PER.24
ür.Fritz;Berger;75  25.2411;-;-;-;-;-;MBNR.8.PER.25
;Bergman;Prof.lugo  S.  Nachruf(gest.18.6.)(HT);-;-;-;27.6.75;-;MBNR.8.PER.26
i’rof.urnst;Bergmann;i’rof  urnst;-;-;-;-;-;MBNR.8.PER.27
Gottfr.;Bermann-Fischer;80  12,8.77;Dr.;-;-;-;-;MBNR.8.PER.28
Jacob;Bernays;Rez.LBI-Buch  H.Bach  (Tobias);-;-;-;17.1.75;-;MBNR.8.PER.29
Georg;Bernhard;loo.Geburtstag(Gottgetreu);-;-;-;10.10.75;-;MBNR.8.PER.30
rlartin;Bielski;üachruf(Lilienfeld);-;-;-;3.6.76;-;MBNR.8.PER.31
;Birnbaun;Iomanuel  Rez,.Erinnerungen  (Lichtenstein);-;-;-;14.3.75;-;MBNR.8.PER.32
&lisabeth;Birsinger;;-;Nachruf;-;9.1.76;-;MBNR.8.PER.33
trof.emst;Bloch;90  (HT);-;-;-;18.7.75;-;MBNR.8.PER.34
„urt;Blumenfeld;kez.Briefband  (Capell);-;-;-;1.4.77;-;MBNR.8.PER.35
beboraliı;Blumenthal;wachruf;-;-;-;19.12.75;-;MBNR.8.PER.36
;Böhm;Frof.Franz  80  (ECL);-;-;-;21.2.75;-;MBNR.8.PER.37
#illy;Brandt;KRez.kemoiren(l.G.);-;-;-;31.12.76;-;MBNR.8.PER.38
Zlischeva;Braun;üachruf;-;-;-;8.8.75;-;MBNR.8.PER.39
Benjanin;Britten;lachruf  (Gradenwitz);-;-;-;10.12.76;-;MBNR.8.PER.40
David;Brünn;3.  (Bankier)  80;-;-;-;31.10.75;-;MBNR.8.PER.41
iiartin;Buber;lo.Todestag(HT);-;-;-;13.6.75;-;MBNR.8.PER.42
ir.Rafael;Cahanowitz;20,.5.77;-;Todesanzeige;-;-;-;MBNR.8.PER.43
kudolf;Callmann;iHachruf  HT;Dr.;-;-;30.4.7656;-;MBNR.8.PER.44
Elias;Canetti;Rez.Gerettete  Zunge  HT  ;-;-;-;20.5.77;-;MBNR.8.PER.45
ierc;Chagall;Rez.Jerusalemfenster  (Strauss);-;-;-;17.10.75;-;MBNR.8.PER.46
;Cohn;Benno  lachruf  UT;-;-;-;23.11.75;-;MBNR.8.PER.47
;Cohn;Julius  iBerlin?);-;Todesanzeige;-;23.1.76;-;MBNR.8.PER.48
;Coh(e)n;Nilhelm  Seew  Aus  Erinnerungen;-;-;-;30.12.77;-;MBNR.8.PER.49
;Cohn;hilly  Israel(Breslau)  Rez.  Tagebuch  (Tobias);-;-;-;23.1.76;-;MBNR.8.PER.50
Joseph;Conrad;„dition  polit.Aufsätze  Plone;-;-;-;26.3.7656;-;MBNR.8.PER.51
;Danziger;Jizchak(Bildhauer)  lachruf(ER);-;-;-;22.7.77;-;MBNR.8.PER.52
;Dayan;lioshe  Rez.ilenoiren(lavor);-;-;-;1.10.76;-;MBNR.8.PER.53
Christian;Dohm;X.  Emanzipations-schrift;-;-;-;15.6.75;-;MBNR.8.PER.54
Benedikt;Dolbin;F,  (if)  Io,lo,73;-;-;-;-;-;MBNR.8.PER.55
Gräfin;Dönhoff;harion  Rez.Essays;-;-;-;15.10.76;-;MBNR.8.PER.56
fardinal;Döpfner;Julius  Besuch  in  Israel;-;-;-;4.4.75;-;MBNR.8.PER.57
Alfred;Dreyfus;(Archiv);-;-;-;29.9.75;-;MBNR.8.PER.58
Friedrich;Dirrenmatt;Buber-Xosenzweig  ledaillle;-;-;-;18.53.77;-;MBNR.8.PER.59
äbba;üban;Rede  iib.Viaspora  u.Israel;-;-;-;13.83.76;-;MBNR.8.PER.60
Blandine;kbinger;;-;-;-;9.1.76;-;MBNR.8.PER.61
;Echt;Sanuel(aus  banzir)  Todesnachricht;-;-;-;23.2.75;-;MBNR.8.PER.62
